BUILDING_ID,ADDRESS_POINT_ID,ADDRESS_REFERENCE,PERSONAL_NAME,ORGANISATION_NAME,DEPARTMENT,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_GROUP_NAME,THOROUGHFARE,SECONDARY_THOROUGHFARE,LOCALITY,SECONDARY_LOCALITY,PRINCIPAL_POST_TOWN,COUNTY,EIRCODE,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,ADDR_LINE_5,ADDR_LINE_6,ADDR_LINE_7,ADDR_LINE_8,ADDR_LINE_9,ADDR_LINE_10,SMALL_AREA_REF,LATITUDE,LONGITUDE
61509882,NULL,6150988200000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DERRYOGHIL,LANESBOROUGH,NULL,LONGFORD,N39CK66,DERRYOGHIL,LANESBOROUGH,CO. LONGFORD,N39CK66,NULL,NULL,NULL,NULL,NULL,NULL,137014001,53.6416694439233,-7.86557964051488
61509883,NULL,6150988300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TULLYVRANE,LANESBOROUGH,NULL,LONGFORD,N39KH52,TULLYVRANE,LANESBOROUGH,CO. LONGFORD,N39KH52,NULL,NULL,NULL,NULL,NULL,NULL,137054007,53.6567115214638,-7.96997300764782
61509943,NULL,6150994300000000,NULL,NULL,NULL,NULL,NULL,22,NULL,SAINT PATRICK'S COURT,NULL,BALLINAMUCK,NULL,NULL,LONGFORD,N39DW99,22 SAINT PATRICK'S COURT,BALLINAMUCK,CO. LONGFORD,N39DW99,NULL,NULL,NULL,NULL,NULL,NULL,137008002,53.8666740546308,-7.71862029519305
61509944,NULL,6150994400000000,NULL,NULL,NULL,NULL,NULL,23,NULL,SAINT PATRICK'S COURT,NULL,BALLINAMUCK,NULL,NULL,LONGFORD,N39HV27,23 SAINT PATRICK'S COURT,BALLINAMUCK,CO. LONGFORD,N39HV27,NULL,NULL,NULL,NULL,NULL,NULL,137008002,53.8665847160151,-7.71859380850044
61509946,NULL,6150994600000000,NULL,NULL,NULL,NULL,NULL,24,NULL,SAINT PATRICK'S COURT,NULL,BALLINAMUCK,NULL,NULL,LONGFORD,N39HK07,24 SAINT PATRICK'S COURT,BALLINAMUCK,CO. LONGFORD,N39HK07,NULL,NULL,NULL,NULL,NULL,NULL,137008002,53.8664653044049,-7.71855851025823
61509947,40078124,6150994740078124,NULL,NULL,NULL,NULL,NULL,25,NULL,SAINT PATRICK'S COURT,NULL,BALLINAMUCK,NULL,NULL,LONGFORD,N39YK13,25 SAINT PATRICK'S COURT,BALLINAMUCK,CO. LONGFORD,N39YK13,NULL,NULL,NULL,NULL,NULL,NULL,137008002,53.8663832815338,-7.71854077566716
61509949,NULL,6150994900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,EDENMORE,BALLINAMUCK,NULL,LONGFORD,N39X054,EDENMORE,BALLINAMUCK,CO. LONGFORD,N39X054,NULL,NULL,NULL,NULL,NULL,NULL,137007001,53.8503461466635,-7.65055080199163
61509977,NULL,6150997700000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RATHCLINE,LANESBOROUGH,NULL,LONGFORD,N39EY95,RATHCLINE,LANESBOROUGH,CO. LONGFORD,N39EY95,NULL,NULL,NULL,NULL,NULL,NULL,137054006,53.6517067918617,-7.98823613770122
61510042,NULL,6151004200000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ESKER,BALLINALEE,NULL,LONGFORD,N39CX49,ESKER,BALLINALEE,CO. LONGFORD,N39CX49,NULL,NULL,NULL,NULL,NULL,NULL,137002001,53.774307157468,-7.69454950444185
61510044,NULL,6151004400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SORAN,BALLINALEE,NULL,LONGFORD,N39RY29,SORAN,BALLINALEE,CO. LONGFORD,N39RY29,NULL,NULL,NULL,NULL,NULL,NULL,137002001,53.786709809411,-7.67666746439106
